单位编码,单位名称,医院项目编码,医院项目名称,国标编码,国标名称,备注
,南京江宁卫生信息平台,E25.001,11-羟化酶缺陷,E25.001,11β-羟化酶缺陷症,
,南京江宁卫生信息平台,E25.002,17-羟化酶缺陷,E25.002,17α-羟化酶缺陷症,
,南京江宁卫生信息平台,E10.901,胰岛素依赖型糖尿病,E10.900,1型糖尿病,
,南京江宁卫生信息平台,E10.951,胰岛素依赖Ⅰ型糖尿病,E10.900,1型糖尿病,
,南京江宁卫生信息平台,E10.952,脆弱型糖尿病,E10.900,1型糖尿病,
,南京江宁卫生信息平台,E10.953,幼年型糖尿病,E10.900,1型糖尿病,
,南京江宁卫生信息平台,E10.954,趋酮症性糖尿病,E10.900,1型糖尿病,
,南京江宁卫生信息平台,T1,糖尿病1型,E10.900,1型糖尿病,
,南京江宁卫生信息平台,E25.003,21-羟化酶缺陷,E25.003,21-羟化酶缺陷症,
,南京江宁卫生信息平台,T51.251,2-丙醇的毒性效应,T51.200,2-丙醇的毒性效应,
,南京江宁卫生信息平台,T51.252,异丙醇的毒性效应(X45.953),T51.200,2-丙醇的毒性效应,
,南京江宁卫生信息平台,E11.901,非胰岛素依赖型糖尿病,E11.900,2型糖尿病,
,南京江宁卫生信息平台,E11.951,成年型糖尿病[成人发病型糖尿病],E11.900,2型糖尿病,
,南京江宁卫生信息平台,E11.952,非胰岛素依赖Ⅱ型糖尿病,E11.900,2型糖尿病,
,南京江宁卫生信息平台,E11.953,成熟期发病糖尿病(非肥胖)(肥胖),E11.900,2型糖尿病,
,南京江宁卫生信息平台,E11.954,非酮症性糖尿病,E11.900,2型糖尿病,
,南京江宁卫生信息平台,E11.955,青年的非胰岛素依赖型糖尿病,E11.900,2型糖尿病,
,南京江宁卫生信息平台,T2,糖尿病2型,E11.900,2型糖尿病,
,南京江宁卫生信息平台,Q99.151,46，XX真两性同体,Q99.100,46XX真两性同体,
,南京江宁卫生信息平台,T39.151,芳香类止痛药中毒,T39.100,4-氨基苯酚衍生物中毒,
,南京江宁卫生信息平台,T39.152,扑热息痛[对乙酰氨基苯乙醚]意外中毒 (X40.955),T39.100,4-氨基苯酚衍生物中毒,
,南京江宁卫生信息平台,E29.101,5α-还原酶缺乏(伴有男性假两性同体),E29.105,5α-还原酶缺陷症,
,南京江宁卫生信息平台,I44.001,Ⅰ度房室传导阻滞,I44.000,Ⅰ度房室传导阻滞,
,南京江宁卫生信息平台,L55.051,Ⅰ度晒伤,L55.000,Ⅰ度晒斑\[晒伤\],
,南京江宁卫生信息平台,N81.251,Ⅰ度子宫脱垂,N81.201,Ⅰ度子宫脱垂,
,南京江宁卫生信息平台,E74.052,冯.吉尔氏病[Ⅰ型糖原累积病],E74.001,Ⅰ型糖原贮积症,
,南京江宁卫生信息平台,E78.252,Ⅱb型弗雷德里克森高脂蛋白血(症),E78.209,Ⅱb型弗雷德里克森高脂蛋白血症,
,南京江宁卫生信息平台,I44.101,Ⅱ度房室传导阻滞，Ⅰ型和Ⅱ型,I44.100,Ⅱ度房室传导阻滞,
,南京江宁卫生信息平台,I44.151,Ⅱ度默比茨传导阻滞，Ⅰ型和Ⅱ型,I44.100,Ⅱ度房室传导阻滞,
,南京江宁卫生信息平台,I44.152,文克巴赫传导阻滞,I44.100,Ⅱ度房室传导阻滞,
,南京江宁卫生信息平台,L55.151,Ⅱ度晒伤,L55.100,Ⅱ度晒斑\[晒伤\],
